,date,open,high,low,close
0,2024-07-16T22:22:40.000000Z,64411.46,64494.0,64384.61,64469.33
1,2024-07-16T22:23:40.000000Z,64469.33,64502.27,64347.64,64347.64
2,2024-07-16T22:24:40.000000Z,64347.64,64351.99,64290.0,64332.48
3,2024-07-16T22:25:40.000000Z,64332.48,64354.65,64234.6,64302.0
4,2024-07-16T22:26:40.000000Z,64302.0,64385.26,64291.05,64385.26
5,2024-07-16T22:27:40.000000Z,64385.26,64472.0,64385.26,64472.0
6,2024-07-16T22:28:40.000000Z,64472.0,64560.0,64471.66,64552.99
7,2024-07-16T22:29:40.000000Z,64552.99,64600.0,64478.56,64478.56
8,2024-07-16T22:30:40.000000Z,64478.56,64536.08,64478.56,64499.99
9,2024-07-16T22:31:40.000000Z,64499.99,64499.99,64357.99,64424.0
10,2024-07-16T22:32:40.000000Z,64424.0,64505.0,64393.29,64504.0
11,2024-07-16T22:33:40.000000Z,64504.0,64536.65,64460.97,64536.65
12,2024-07-16T22:34:40.000000Z,64536.65,64536.65,64403.92,64471.99
13,2024-07-16T22:35:40.000000Z,64471.99,64509.56,64441.21,64441.22
14,2024-07-16T22:36:40.000000Z,64441.22,64441.22,64352.54,64378.0
15,2024-07-16T22:37:40.000000Z,64378.0,64524.1,64378.0,64524.1
16,2024-07-16T22:38:40.000000Z,64524.1,64524.1,64480.0,64480.0
17,2024-07-16T22:39:40.000000Z,64480.0,64495.32,64453.0,64489.49
18,2024-07-16T22:40:40.000000Z,64489.49,64508.0,64452.0,64505.99
19,2024-07-16T22:41:40.000000Z,64505.99,64600.0,64505.99,64594.66
20,2024-07-16T22:42:40.000000Z,64594.66,64770.96,64590.01,64660.0
21,2024-07-16T22:43:40.000000Z,64660.0,64743.59,64650.0,64667.07
22,2024-07-16T22:44:40.000000Z,64667.07,64667.07,64580.0,64580.0
23,2024-07-16T22:45:40.000000Z,64580.0,64641.7,64560.0,64623.22
24,2024-07-16T22:46:40.000000Z,64623.22,64623.22,64514.0,64615.99
25,2024-07-16T22:47:40.000000Z,64615.99,64705.0,64615.99,64704.96
26,2024-07-16T22:48:40.000000Z,64704.96,64704.96,64640.5,64640.51
27,2024-07-16T22:49:40.000000Z,64640.51,64701.13,64640.51,64665.99
28,2024-07-16T22:50:40.000000Z,64665.99,64665.99,64582.0,64646.02
29,2024-07-16T22:51:40.000000Z,64646.02,64655.0,64632.42,64646.96
30,2024-07-16T22:52:40.000000Z,64646.96,64884.0,64646.96,64852.11
31,2024-07-16T22:53:40.000000Z,64852.11,64860.0,64803.52,64847.99
32,2024-07-16T22:54:40.000000Z,64847.99,64900.0,64847.99,64900.0
33,2024-07-16T22:55:40.000000Z,64900.0,64910.38,64838.54,64903.97
34,2024-07-16T22:56:47.000000Z,64903.97,64934.0,64899.55,64929.99
35,2024-07-16T22:57:41.000000Z,64929.99,64960.86,64917.0,64928.12
36,2024-07-16T22:58:41.000000Z,64928.12,64945.63,64912.01,64915.99
37,2024-07-16T22:59:41.000000Z,64915.99,64925.99,64871.72,64884.93
38,2024-07-16T23:00:41.000000Z,64884.93,64917.44,64867.66,64917.44
39,2024-07-16T23:01:41.000000Z,64917.44,64960.0,64891.82,64946.02
40,2024-07-16T23:02:41.000000Z,64946.02,64946.02,64889.0,64907.75
41,2024-07-16T23:03:40.000000Z,64907.75,65000.0,64907.75,65000.0
